Property ID,Map Location,Latitude,Longitude
PA1096,https://maps.app.goo.gl/do7ckfhiEtWvfBBQ8,12.9414333,77.7809255
PA1095,https://maps.app.goo.gl/1Fa4Kp4hdDkKNiid9,12.8826228,77.7790252
PA1094,https://maps.app.goo.gl/1Fa4Kp4hdDkKNiid9,12.8826228,77.7790252
PA1097,https://maps.app.goo.gl/w8c2pEfmtQM3JEHU8,13.0262802,77.6338657
PA1096,https://maps.app.goo.gl/gaH92xewAiDS2ZpV9,13.0076328,77.7587094
PA1095,,,
PA1094,https://maps.app.goo.gl/3PAVwSoZH4K3vwpm8,13.0690573,77.5456967
PA1093,https://maps.app.goo.gl/4jSs3rWHu1jozcHX7,13.2311281,77.510427
PA1092,https://maps.app.goo.gl/4jiZGuQENVBph2sH9,13.1424844,77.6804489
PA1091,https://maps.app.goo.gl/A8mv3WMnzQRUCL9Q6,12.8943842,77.5826544
PA1090,https://maps.app.goo.gl/RvbVnbthG2DiKZH6A,12.9913494,77.6091711
PA1089,https://maps.app.goo.gl/SEVrVZdSn3g7svmb9,12.8060445,77.5887596
PA1088,https://maps.app.goo.gl/SfZsuraFyvZEybRFA,12.9938808,77.5493422
PA1087,https://maps.app.goo.gl/qtJywsCv35q8Z1GN8,13.0615809,77.6585399
PA1086,,,
PA1085,https://maps.app.goo.gl/Pf2wwuha6Rf6xKZy8,13.2729684,77.3311305
PA1084,https://maps.app.goo.gl/mFi8JtN6bjkMtYs47,13.1994956,77.5938
PA1083,https://maps.app.goo.gl/bx3vknZS4Pwiq1b37,13.1271818,77.5044395
PA1082,https://maps.app.goo.gl/fnA8238mAhCrjPDS7,12.9823803,77.7563996
PA1081,https://maps.app.goo.gl/gbF57nJ6DtrXTrdPA,12.8828332,77.6183752
PA1080,https://maps.app.goo.gl/e93GaAtAJbc5GpRq8,12.9900197,77.3540099
PA1079,"https://www.google.com/maps/place/Prestige+Finsbury+Park,+Tower+11/@13.1457264,77.6081487,12.03z/data=!4m6!3m5!1s0x3bae1b005397a135:0x72d65de46c1d08d3!8m2!3d13.1416612!4d77.681406!16s%2Fg%2F11vrbvbx8c?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D",13.1457264,77.6081487
PA1078,"https://www.google.com/maps/place/3rd+Block,+Koramangala+1A+Block,+Koramangala+3+Block,+Koramangala,+Bengaluru,+Karnataka+560034/@12.9475396,77.5770645,10.8z/data=!4m6!3m5!1s0x3bae145e728f97d7:0x2d5675295591969b!8m2!3d12.9286421!4d77.6291277!16s%2Fg%2F11gh6bdbtc?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D",12.9475396,77.5770645
PA1077,"https://www.google.com/maps/place/Eden+park+@+The+Prestige+City/@12.8783356,77.771617,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae738473e531e9:0x96c5b1378fd32367!8m2!3d12.8783356!4d77.7741919!16s%2Fg%2F11rjv6f2jt?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D",12.8783356,77.771617
PA1076,"https://www.google.com/maps/place/Eden+park+@+The+Prestige+City/@12.8783356,77.771617,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae738473e531e9:0x96c5b1378fd32367!8m2!3d12.8783356!4d77.7741919!16s%2Fg%2F11rjv6f2jt?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D",12.8783356,77.771617
PA1075,"https://www.google.com/maps/place/SOBHA+Rajvilas/@12.9787071,77.5637227,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1727c62afb9b:0x5715ad074b9bb0ac!8m2!3d12.9787071!4d77.5637227!16s%2Fg%2F11ffg5n7n8?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",12.9787071,77.5637227
PA1074,"https://www.google.com/maps/place/Brigade+Bricklane/@13.1003883,77.6294786,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae199f8197d1e5:0xbd0df0ce18b8f1db!8m2!3d13.1003883!4d77.6320535!16s%2Fg%2F11gh2vt785?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D",13.1003883,77.6294786
PA1073, 14/Dec/2024,,
PA1072, 14/Dec/2024,,
PA1071, 14/Dec/2024,,
PA1070, 14/Dec/2024,,
PA1069, 14/Dec/2024,,
PA1068, 14/Dec/2024,,
PA1067, 14/Dec/2024,,
PA1066, 13/Dec/2024,,
PA1065, 13/Dec/2024,,
PA1064, 13/Dec/2024,,
PA1063, 13/Dec/2024,,
PA1062, 13/Dec/2024,,
PA1061, 13/Dec/2024,,
PA1060, 13/Dec/2024,,
PA1059, 13/Dec/2024,,
PA1058, 13/Dec/2024,,
PA1057, 12/Dec/2024,,
PA1056, 12/Dec/2024,,
PA1055, 12/Dec/2024,,
PA1054, 12/Dec/2024,,
PA1053, 12/Dec/2024,,
PA1052, 12/Dec/2024,,
PA1051, 12/Dec/2024,,
PA1050,https://maps.app.goo.gl/SCybRB2jTX8oNcms9,12.9727246,77.7587876
PA1049,https://maps.app.goo.gl/m28bmTCvHX8twG7AA,12.9572877,77.7704643
PA1048,https://maps.app.goo.gl/ecV3ybTid7N9xEZB9,13.0294942,77.3478634
PA1047,https://maps.app.goo.gl/TpQWEeDCWQBakidX6,12.9703577,77.7370199
PA1046,https://maps.app.goo.gl/B7k4sap87E3CphkQ8,12.9670893,77.7207485
