Property ID,Map Location
PA1096,https://maps.app.goo.gl/do7ckfhiEtWvfBBQ8
PA1095,https://maps.app.goo.gl/1Fa4Kp4hdDkKNiid9
PA1094,https://maps.app.goo.gl/1Fa4Kp4hdDkKNiid9
PA1097,https://maps.app.goo.gl/w8c2pEfmtQM3JEHU8
PA1096,https://maps.app.goo.gl/gaH92xewAiDS2ZpV9
PA1095,
PA1094,https://maps.app.goo.gl/3PAVwSoZH4K3vwpm8
PA1093,https://maps.app.goo.gl/4jSs3rWHu1jozcHX7
PA1092,https://maps.app.goo.gl/4jiZGuQENVBph2sH9
PA1091,https://maps.app.goo.gl/A8mv3WMnzQRUCL9Q6
PA1090,https://maps.app.goo.gl/RvbVnbthG2DiKZH6A
PA1089,https://maps.app.goo.gl/SEVrVZdSn3g7svmb9
PA1088,https://maps.app.goo.gl/SfZsuraFyvZEybRFA
PA1087,https://maps.app.goo.gl/qtJywsCv35q8Z1GN8
PA1086,
PA1085,https://maps.app.goo.gl/Pf2wwuha6Rf6xKZy8
PA1084,https://maps.app.goo.gl/mFi8JtN6bjkMtYs47
PA1083,https://maps.app.goo.gl/bx3vknZS4Pwiq1b37
PA1082,https://maps.app.goo.gl/fnA8238mAhCrjPDS7
PA1081,https://maps.app.goo.gl/gbF57nJ6DtrXTrdPA
PA1080,https://maps.app.goo.gl/e93GaAtAJbc5GpRq8
PA1079,"https://www.google.com/maps/place/Prestige+Finsbury+Park,+Tower+11/@13.1457264,77.6081487,12.03z/data=!4m6!3m5!1s0x3bae1b005397a135:0x72d65de46c1d08d3!8m2!3d13.1416612!4d77.681406!16s%2Fg%2F11vrbvbx8c?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D"
PA1078,"https://www.google.com/maps/place/3rd+Block,+Koramangala+1A+Block,+Koramangala+3+Block,+Koramangala,+Bengaluru,+Karnataka+560034/@12.9475396,77.5770645,10.8z/data=!4m6!3m5!1s0x3bae145e728f97d7:0x2d5675295591969b!8m2!3d12.9286421!4d77.6291277!16s%2Fg%2F11gh6bdbtc?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D"
PA1077,"https://www.google.com/maps/place/Eden+park+@+The+Prestige+City/@12.8783356,77.771617,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae738473e531e9:0x96c5b1378fd32367!8m2!3d12.8783356!4d77.7741919!16s%2Fg%2F11rjv6f2jt?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D"
PA1076,"https://www.google.com/maps/place/Eden+park+@+The+Prestige+City/@12.8783356,77.771617,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae738473e531e9:0x96c5b1378fd32367!8m2!3d12.8783356!4d77.7741919!16s%2Fg%2F11rjv6f2jt?entry=ttu&g_ep=EgoyMDI0MTIxMC4wIKXMDSoASAFQAw%3D%3D"
